id,ggxfGroupName,ggxfGridName,parentId,gridPriority,iCodeCount,jNodeCount,depth,extent_wkt,latitudeOffset-min,latitudeOffset-max,longitudeOffset-min,longitudeOffset-max,latitudeOffsetUncertainty-min,latitudeOffsetUncertainty-max,longitudeOffsetUncertainty-min,longitudeOffsetUncertainty-max
0:1:76,national_transformation_v2_0,BCvancvr,0:1,,131,51,2,"POLYGON((-123.25 49.0,-123.25 49.416666666666664,-122.16666666666667 49.416666666666664,-122.16666666666667 49.0, -123.25 49.0))",-0.629430,-0.565510,-4.791030,-4.607560,0.001000,0.469000,0.000000,0.517000
0:1:77,national_transformation_v2_0,BCvernon,0:1,,21,21,2,"POLYGON((-119.33333333333334 50.166666666666664,-119.33333333333334 50.33333333333333,-119.16666666666667 50.33333333333333,-119.16666666666667 50.166666666666664, -119.33333333333334 50.166666666666664))",-0.395580,-0.373090,-4.259670,-4.221820,0.001000,0.429000,0.001000,0.275000
0:1:78,national_transformation_v2_0,BCvictor,0:1,,41,51,2,"POLYGON((-123.58333333333334 48.333333333333336,-123.58333333333334 48.75,-123.25000000000001 48.75,-123.25000000000001 48.333333333333336, -123.58333333333334 48.333333333333336))",-0.670610,-0.634590,-4.764630,-4.651280,0.000000,0.174000,0.000000,0.213000
0:1:79,national_transformation_v2_0,ONthundr,0:1,,71,51,2,"POLYGON((-89.58333333333334 48.166666666666664,-89.58333333333334 48.58333333333333,-89.00000000000001 48.58333333333333,-89.00000000000001 48.166666666666664, -89.58333333333334 48.166666666666664))",0.167040,0.183180,-0.271860,-0.175990,0.000000,0.044000,0.001000,0.060000
0:1:80,national_transformation_v2_0,SAestvan,0:1,,21,21,2,"POLYGON((-103.08333333333334 49.083333333333336,-103.08333333333334 49.25,-102.91666666666667 49.25,-102.91666666666667 49.083333333333336, -103.08333333333334 49.083333333333336))",0.111070,0.130030,-1.696330,-1.638780,0.102000,0.249000,0.107000,0.351000
0:1:81,national_transformation_v2_0,SAmelfrt,0:1,,71,21,2,"POLYGON((-104.66666666666667 52.75,-104.66666666666667 52.916666666666664,-104.08333333333334 52.916666666666664,-104.08333333333334 52.75, -104.66666666666667 52.75))",0.018200,0.063540,-1.790620,-1.709200,0.029000,0.422000,0.050000,0.353000
0:1:82,national_transformation_v2_0,SAmelvil,0:1,,21,21,2,"POLYGON((-102.91666666666667 50.833333333333336,-102.91666666666667 51.0,-102.75 51.0,-102.75 50.833333333333336, -102.91666666666667 50.833333333333336))",0.008030,0.027990,-1.800810,-1.772240,0.119000,0.325000,0.048000,0.147000
0:1:83,national_transformation_v2_0,SAmosjaw,0:1,,41,21,2,"POLYGON((-105.75 50.333333333333336,-105.75 50.5,-105.41666666666667 50.5,-105.41666666666667 50.333333333333336, -105.75 50.333333333333336))",0.093800,0.100080,-2.095100,-2.048820,0.000000,0.125000,0.001000,0.053000
0:1:84,national_transformation_v2_0,SAnbatle,0:1,,31,21,2,"POLYGON((-108.41666666666667 52.666666666666664,-108.41666666666667 52.83333333333333,-108.16666666666667 52.83333333333333,-108.16666666666667 52.666666666666664, -108.41666666666667 52.666666666666664))",0.230850,0.254010,-2.499550,-2.404170,0.005000,0.251000,0.001000,0.977000
0:1:85,national_transformation_v2_0,SApralbt,0:1,,61,31,2,"POLYGON((-106.0 53.08333333333333,-106.0 53.33333333333333,-105.5 53.33333333333333,-105.5 53.08333333333333, -106.0 53.08333333333333))",0.123630,0.172280,-1.901730,-1.788090,0.000000,0.389000,0.000000,0.274000
0:1:86,national_transformation_v2_0,SAregina,0:1,,31,31,2,"POLYGON((-104.75 50.33333333333333,-104.75 50.58333333333333,-104.5 50.58333333333333,-104.5 50.33333333333333, -104.75 50.33333333333333))",0.140340,0.205180,-2.046830,-1.960550,0.001000,0.774000,0.001000,0.429000
0:1:87,national_transformation_v2_0,SAsatoon,0:1,,51,31,2,"POLYGON((-106.83333333333334 52.0,-106.83333333333334 52.25,-106.41666666666667 52.25,-106.41666666666667 52.0, -106.83333333333334 52.0))",0.138970,0.170710,-2.262960,-2.159250,0.002000,0.177000,0.002000,0.444000
0:1:88,national_transformation_v2_0,SAswiftc,0:1,,31,31,2,"POLYGON((-107.91666666666667 50.166666666666664,-107.91666666666667 50.416666666666664,-107.66666666666667 50.416666666666664,-107.66666666666667 50.166666666666664, -107.91666666666667 50.166666666666664))",0.111220,0.127430,-2.451320,-2.398100,0.001000,0.103000,0.002000,0.154000
0:1:89,national_transformation_v2_0,SAweybrn,0:1,,21,21,2,"POLYGON((-103.91666666666667 49.583333333333336,-103.91666666666667 49.75,-103.75 49.75,-103.75 49.583333333333336, -103.91666666666667 49.583333333333336))",0.086590,0.096680,-1.990710,-1.928790,0.121000,0.287000,0.102000,0.359000
0:1:90,national_transformation_v2_0,SAyorktn,0:1,,31,21,2,"POLYGON((-102.58333333333334 51.166666666666664,-102.58333333333334 51.33333333333333,-102.33333333333334 51.33333333333333,-102.33333333333334 51.166666666666664, -102.58333333333334 51.166666666666664))",-0.001670,0.010800,-1.738330,-1.702830,0.002000,0.113000,0.005000,0.064000
0:2,national_transformation_v2_0,CAnorth,,,589,181,1,"POLYGON((-142.0 60.0,-142.0 75.0,-44.0 75.0,-44.0 60.0, -142.0 60.0))",-1.374680,2.955160,-18.220619,13.463340,0.001000,17.118999,0.002000,10.244000
0:2:0,national_transformation_v2_0,NWclyder,0:2,,31,31,2,"POLYGON((-68.83333333333333 70.33333333333334,-68.83333333333333 70.58333333333334,-68.33333333333333 70.58333333333334,-68.33333333333333 70.33333333333334, -68.83333333333333 70.33333333333334))",1.906650,1.942150,5.138220,5.379350,0.183000,2.757000,0.455000,1.343000
0:2:1,national_transformation_v2_0,NWftgood,0:2,,21,21,2,"POLYGON((-128.83333333333334 66.16666666666667,-128.83333333333334 66.33333333333334,-128.5 66.33333333333334,-128.5 66.16666666666667, -128.83333333333334 66.16666666666667))",0.128480,0.172220,-7.425980,-7.309650,0.644000,1.021000,0.220000,0.339000
0:2:2,national_transformation_v2_0,NWhayriv,0:2,,61,61,2,"POLYGON((-116.5 60.5,-116.5 61.0,-115.5 61.0,-115.5 60.5, -116.5 60.5))",0.407440,0.477250,-5.038610,-4.796740,0.002000,0.218000,0.000000,0.153000
0:2:3,national_transformation_v2_0,NWinuvik,0:2,,31,41,2,"POLYGON((-133.83333333333334 68.16666666666667,-133.83333333333334 68.5,-133.33333333333334 68.5,-133.33333333333334 68.16666666666667, -133.83333333333334 68.16666666666667))",-0.278650,-0.172310,-9.334780,-8.996950,0.336000,0.882000,0.172000,0.601000
0:2:4,national_transformation_v2_0,NWiqulit,0:2,,61,61,2,"POLYGON((-69.0 63.49999999999999,-69.0 63.99999999999999,-68.0 63.99999999999999,-68.0 63.49999999999999, -69.0 63.49999999999999))",1.003630,1.112770,3.850680,4.117350,0.003000,1.194000,0.002000,0.297000
0:2:5,national_transformation_v2_0,NWpondin,0:2,,41,21,2,"POLYGON((-78.16666666666666 72.58333333333333,-78.16666666666666 72.75,-77.49999999999999 72.75,-77.49999999999999 72.58333333333333, -78.16666666666666 72.58333333333333))",2.437320,2.473540,3.092960,3.323570,0.065000,0.125000,0.086000,0.167000
0:2:6,national_transformation_v2_0,NWrankin,0:2,,11,21,2,"POLYGON((-92.16666666666666 62.75,-92.16666666666666 62.916666666666664,-91.99999999999999 62.916666666666664,-91.99999999999999 62.75, -92.16666666666666 62.75))",1.110160,1.127560,0.088340,0.123450,0.003000,0.092000,0.018000,0.103000
0:2:7,national_transformation_v2_0,NWyellow,0:2,,11,11,2,"POLYGON((-114.5 62.416666666666664,-114.5 62.5,-114.33333333333333 62.5,-114.33333333333333 62.416666666666664, -114.5 62.416666666666664))",0.704920,0.716100,-4.622800,-4.577240,0.003000,0.207000,0.002000,0.264000
0:2:8,national_transformation_v2_0,YUdawson,0:2,,11,21,2,"POLYGON((-139.5 64.0,-139.5 64.16666666666667,-139.33333333333334 64.16666666666667,-139.33333333333334 64.0, -139.5 64.0))",-0.996140,-0.944070,-8.069330,-8.005010,0.194000,0.526000,0.070000,0.295000
0:2:9,national_transformation_v2_0,YUrossri,0:2,,11,21,2,"POLYGON((-132.58333333333334 61.916666666666664,-132.58333333333334 62.08333333333333,-132.41666666666669 62.08333333333333,-132.41666666666669 61.916666666666664, -132.58333333333334 61.916666666666664))",-0.759480,-0.736195,-6.925100,-6.871065,0.121000,0.212000,0.060000,0.173000
0:2:10,national_transformation_v2_0,YUwhiteh,0:2,,6,11,2,"POLYGON((-135.08333333333334 60.666666666666664,-135.08333333333334 60.75,-135.0 60.75,-135.0 60.666666666666664, -135.08333333333334 60.666666666666664))",-1.058155,-1.048490,-6.757005,-6.726490,0.002000,0.025000,0.001000,0.023000
0:3,national_transformation_v2_0,CAarctic,,,295,109,1,"POLYGON((-142.0 75.0,-142.0 84.0,-44.0 84.0,-44.0 75.0, -142.0 75.0))",0.796870,4.812650,-39.332340,38.445400,0.024000,10.162000,0.007000,10.607000
